Variation,g1,g2,g3,l1,l2,lw,patch_r,slot_length,sw,dB(S(1 1)): Freq(6.6GHz),max(dB(S(1 1))): Freq(2.5GHz:6.3GHz),max(dB(S(1 1))): Freq(6.8GHz:12GHz),Cost
68,17.52381mm,5.0673469mm,3.4666667mm,16.189116mm,2.2176871mm,4.9761905mm,10.77551mm,29.931973mm,0.87755102mm,-8.9488483,-8.1709986,-4.0837864,42.144839
69,20.027211mm,5.4653061mm,3.6435374mm,14.636735mm,2.0816327mm,3.1428571mm,4.1904762mm,19.047619mm,0.54421769mm,-5.029261,-7.4673183,15.75891,669.93594
70,11.972789mm,4.8285714mm,3.9265306mm,20.957143mm,1.8911565mm,1.9047619mm,8mm,14.557823mm,0.56462585mm,-14.729034,-9.3028572,-9.4606181,60.514906
71,21.55102mm,5.5979592mm,6.2612245mm,11.642857mm,1.7414966mm,5mm,9.9591837mm,20.408163mm,1.2244898mm,-7.4098021,-2.5099194,3.2187813,231.00542
72,9.3605442mm,5.7306122mm,4.0326531mm,8.5380952mm,1.8639456mm,4.0714286mm,9.4693878mm,17.959184mm,0.99319728mm,-12.480121,-5.8731425,-5.599667,66.425604
73,14.911565mm,2.3877551mm,4.1387755mm,23.729252mm,1.9727891mm,2.0952381mm,10.721088mm,16.870748mm,1.3061224mm,-13.442091,-10.168246,-6.5404604,53.46895
74,16.653061mm,2.7591837mm,3.1482993mm,19.626531mm,2.9795918mm,3.5238095mm,6.3673469mm,20.544218mm,1.4013605mm,-8.2757552,-11.939502,-6.0151012,17.50697
75,8.0544218mm,4.4306122mm,4.244898mm,13.971429mm,2.3401361mm,2.9047619mm,4.5170068mm,11.564626mm,1.1088435mm,-7.3580492,-7.9895589,-7.0611327,12.807014
76,16.435374mm,3.5020408mm,3.7142857mm,18.517687mm,1.6190476mm,4.8571429mm,4.6258503mm,27.619048mm,1.3877551mm,-11.110358,9.1063399,-5.7515623,399.99649
77,9.4693878mm,3.0244898mm,7.4285714mm,19.515646mm,1.4557823mm,2.8809524mm,5.7687075mm,14.421769mm,1.1768707mm,-16.089114,-6.9870417,-7.2888674,99.040153
78,8.5986395mm,2.8387755mm,4.5278912mm,16.854422mm,1.1564626mm,3.3095238mm,7.7823129mm,16.598639mm,1.4557823mm,-15.974605,-5.464999,-7.7732387,106.06824
79,15.346939mm,3.3428571mm,3.785034mm,20.291837mm,2.0272109mm,4.4047619mm,10.993197mm,27.891156mm,1.4897959mm,-13.278037,-7.7185594,-2.7129538,97.719762
80,10.122449mm,4.4040816mm,6.5088435mm,19.404762mm,2.7619048mm,3.3571429mm,10.122449mm,24.217687mm,1.4965986mm,-17.786673,-5.7916001,-5.5495422,153.86953
81,14.040816mm,4.855102mm,6.7918367mm,11.97551mm,2.5578231mm,4.2619048mm,10.285714mm,12.244898mm,0.6122449mm,-8.014288,-9.2413137,1.3667738,130.80793
82,18.176871mm,4.4836735mm,5.5891156mm,17.852381mm,2.7755102mm,1.8095238mm,11.37415mm,13.877551mm,1.1904762mm,-17.751307,-11.570057,-7.7899183,120.47506
83,16.979592mm,3.2632653mm,5.3768707mm,8.9816327mm,1.1972789mm,4.1904762mm,9.414966mm,10.204082mm,1.1428571mm,-8.1777173,-9.1241041,4.3612863,208.40076
84,22.639456mm,4.9081633mm,7.0394558mm,20.513605mm,1.5918367mm,3.1666667mm,7.1836735mm,19.455782mm,1.4693878mm,-14.891325,-8.4867088,0.77807147,180.72989
85,8.8163265mm,3.5285714mm,2.6884354mm,21.955102mm,2.8027211mm,3.6666667mm,9.1428571mm,22.040816mm,0.88435374mm,-23.76438,-3.8596795,-12.57948,318.74799
86,12.190476mm,4.1653061mm,5.6598639mm,19.959184mm,2.2857143mm,2.2857143mm,4.3537415mm,24.353741mm,0.52380952mm,-16.663644,-8.353297,-6.8663588,105.91736
87,14.585034mm,2.6795918mm,2.9006803mm,12.751701mm,2.7891156mm,4.6190476mm,7.7278912mm,28.435374mm,1.0884354mm,-9.3832412,9.0129254,-4.3120861,399.52353
88,11.210884mm,5.5183673mm,4.952381mm,22.287755mm,1.2108844mm,4.0952381mm,10.068027mm,25.986395mm,1.1020408mm,-17.628918,-3.2498372,-6.6507478,169.75608
89,21.115646mm,2.5204082mm,3.077551mm,15.191156mm,2.585034mm,1.952381mm,9.3605442mm,18.231293mm,0.80272109mm,-6.852419,-3.078764,-9.8591809,47.923338
90,11.863946mm,5.2265306mm,6.4734694mm,14.969388mm,1.4285714mm,4.5238095mm,11.755102mm,21.22449mm,0.63945578mm,-10.214745,-6.0909474,-3.2674742,70.942182
91,14.693878mm,3.1836735mm,5.1646259mm,9.3142857mm,1.2653061mm,3mm,10.938776mm,28.707483mm,0.69387755mm,-10.836106,-11.399779,2.7204755,176.5262
